Driver,Age,Date Of Accident,Event,Car,Session
 Cameron Earl,29,1952,N/A,ERA,Test
 Chet Miller,50,1953,1953 Indianapolis 500,Kurtis Kraft,Practice
 Charles de Tornaco,26,1953,1953 Modena Grand Prix,Ferrari,Practice
 Onofre Marimón,30,1954,1954 German Grand Prix,Maserati,Practice
 Mario Alborghetti,26,1955,1955 Pau Grand Prix,Maserati,Race
 Manny Ayulo,33,1955,1955 Indianapolis 500,Kuzma,Practice
 Bill Vukovich,36,1955,1955 Indianapolis 500,Kurtis Kraft,Race
 Eugenio Castellotti,26,1957,N/A,Ferrari,Test
 Keith Andrews,36,1957,1957 Indianapolis 500,Kurtis Kraft,Practice
 Pat O'Connor,29,1958,1958 Indianapolis 500,Kurtis Kraft,Race
 Luigi Musso,33,1958,1958 French Grand Prix,Ferrari,Race
 Peter Collins,26,1958,1958 German Grand Prix,Ferrari,Race
 Stuart Lewis-Evans,28,1958,1958 Moroccan Grand Prix,Vanwall,Race
 Jerry Unser Jr.,26,1959,1959 Indianapolis 500,Kurtis Kraft,Pre-race test
 Harry Schell,38,1960,1960 BRDC International Trophy,Cooper,Practice
 Bob Cortner,32,1959,1959 Indianapolis 500,Cornis,Pre-race test
 Chris Bristow,22,1960,1960 Belgian Grand Prix,Cooper,Race
 Alan Stacey,26,1960,1960 Belgian Grand Prix,Lotus,Race
 Shane Summers,24,1961,1961 Silver City Trophy,Cooper,Practice
 Giulio Cabianca,38,1961,N/A,Cooper,Test
 Wolfgang von Trips,33,1961,1961 Italian Grand Prix,Ferrari,Race
 Ricardo Rodríguez,20,1962,1962 Mexican Grand Prix,Lotus,Practice
 Gary Hocking,25,1962,1962 Natal Grand Prix,Lotus,Practice
 Carel Godin de Beaufort,30,1964,1964 German Grand Prix,Porsche,Practice
 John Taylor,33,1966,1966 German Grand Prix,Brabham,Race
 Lorenzo Bandini,31,1967,1967 Monaco Grand Prix,Ferrari,Race
 Bob Anderson,36,1967,N/A,Brabham,Test
 Jo Schlesser,40,1968,1968 French Grand Prix,Honda,Race
 Gerhard Mitter,33,1969,1969 German Grand Prix,BMW,Practice
 Martin Brain,37,1970,Nottingham Sportscar Club Meeting,Cooper,Race
 Piers Courage,28,1970,1970 Dutch Grand Prix,De Tomaso,Race
 Jochen Rindt,28,1970,1970 Italian Grand Prix,Lotus,Qualifying
 Jo Siffert,35,1971,1971 World Championship Victory Race,BRM,Race
 Roger Williamson,25,1973,1973 Dutch Grand Prix,March,Race
 François Cevert,29,1973,1973 United States Grand Prix,Tyrrell,Qualifying
 Peter Revson,35,1974,1974 South African Grand Prix,Shadow,Pre-race test
 Helmuth Koinigg,25,1974,1974 United States Grand Prix,Surtees,Race
 Mark Donohue,38,1975,1975 Austrian Grand Prix,Penske,Practice
 Tom Pryce,27,1977,1977 South African Grand Prix,Shadow,Race
 Brian McGuire,31,1997,1977 Shellsport Championship,McGuire,Practice
 Ronnie Peterson,34,1978,1978 Italian Grand Prix,Lotus,Race
 Patrick Depailler,35,1980,N/A,Alfa Romeo,Test
 Gilles Villeneuve,32,1982,1982 Belgian Grand Prix,Ferrari,Qualifying
 Riccardo Paletti,23,1982,1982 Canadian Grand Prix,Osella,Race
 Elio de Angelis,28,1986,N/A,Brabham,Test
 Roland Ratzenberger,33,1994,1994 San Marino Grand Prix,Simtek,Qualifying
 Ayrton Senna,34,1994,1994 San Marino Grand Prix,Williams,Race
 John Dawson-Damer,59,2000,2000 Goodwood Festival of Speed,Lotus,Demonstration
 Fritz Glatz,58,2002,2002 EuroBOSS Series Season,Footwork,Race
 Jules Bianchi,25,2014,2014 Japanese Grand Prix,Marussia,Race